species,country_of_origin,variety,aroma,aftertaste,acidity,body,balance,sweetness,total_cup_points,moisture,altitude_mean_meters
Arabica,Taiwan,Typica,7.67,7.58,7.58,7.67,7.83,10,83.75,0,750
Arabica,Colombia,,7.92,7.5,7.67,7.75,7.5,10,83.75,0,NA
Arabica,China,Catimor,7.83,7.67,7.5,7.58,7.67,10,83.75,0.1,1650
Arabica,Colombia,Caturra,7.75,7.5,7.67,7.58,7.83,10,83.75,0,442
Arabica,Uganda,Bourbon,8,7.58,7.75,7.33,7.5,10,83.75,0.12,1400
Arabica,United States (Puerto Rico),Other,7.83,7.83,7.67,8,8.17,10,83.75,0.12,853.44
Arabica,Colombia,Caturra,7.67,7.67,7.92,7.5,7.67,10,83.75,0,1775
Arabica,Colombia,Other,7.67,7.42,7.42,8,8.33,10,83.75,0,1550
Arabica,Colombia,Caturra,7.58,7.75,7.67,7.67,7.67,10,83.75,0,1750
Arabica,Colombia,Caturra,7.75,7.75,7.58,7.42,8,10,83.75,0.11,1750
Arabica,United States (Hawaii),Hawaiian Kona,7.25,7.67,7.58,7.83,8.25,10,83.75,0,NA
Arabica,Mexico,Caturra,7.83,7.58,7.5,7.75,7.67,10,83.75,0.13,700
Arabica,Guatemala,Caturra,7.67,7.58,7.67,7.75,7.75,10,83.75,0.11,1300
Arabica,Colombia,,7.83,7.58,7.33,7.42,7.67,10,83.75,0.1,1600
Arabica,Colombia,,7.75,7.25,7.25,7.58,8.5,10,83.75,0.06,1600
Arabica,United States (Hawaii),,7.83,7.75,7.67,7.58,7.5,10,83.75,0,NA
Arabica,Brazil,Bourbon,7.67,7.5,7.67,7.67,7.5,10,83.67,0.11,890
Arabica,Kenya,SL28,8.08,7.67,7.58,7.25,7.67,10,83.67,0.11,1700
Arabica,Honduras,Caturra,7.5,7.67,7.67,8,8,10,83.67,0.1,1400
Arabica,Nicaragua,Caturra,7.67,7.67,7.67,7.83,7.58,10,83.67,0.1,1250
Arabica,Brazil,Bourbon,7.58,7.58,7.75,7.58,7.58,10,83.67,0.11,934
Arabica,Taiwan,Caturra,7.5,7.33,7.92,7.83,7.67,10,83.67,0.1,1200
Arabica,Costa Rica,,7.33,7.67,7.5,7.67,7.5,10,83.67,0.11,1350
Arabica,Thailand,,7.5,7.58,7.83,7.67,7.58,10,83.67,0.12,800
Arabica,Colombia,Caturra,7.5,7.5,7.75,7.67,7.67,10,83.67,0.11,1625
Arabica,Guatemala,Bourbon,8,7.33,8,8,8,10,83.67,0.1,1356.6648
Arabica,Colombia,Caturra,7.83,7.67,7.58,7.58,7.67,10,83.67,0,1750
Arabica,Colombia,Caturra,7.67,7.67,7.67,7.33,7.75,10,83.67,0,1900
Arabica,Guatemala,Bourbon,7.67,7.42,7.67,8,7.75,10,83.67,0.12,1310.64
Arabica,Guatemala,Bourbon,7.83,7.33,7.67,7.67,7.83,10,83.67,0.11,1310.64
Arabica,Colombia,Caturra,7.75,7.58,7.83,7.17,7.75,10,83.67,0.11,1750
Arabica,Guatemala,Caturra,8.17,7.83,7.67,8.08,7.75,9.33,83.67,0.11,1450
Arabica,Guatemala,Bourbon,7.67,7.5,7.42,7.58,7.83,10,83.67,0.11,1310.64
Arabica,Mexico,Typica,7.67,7.5,7.33,7.83,8.25,10,83.67,0.12,1100
Arabica,Indonesia,Typica,8.17,7.58,7.58,7.42,7.67,10,83.67,0.12,1400
Arabica,Guatemala,Caturra,7.67,7.33,8,7.67,7.67,10,83.67,0.1,1524
Arabica,United States (Hawaii),,7.75,7.92,8.08,7.75,8,9.33,83.67,0,NA
Arabica,Brazil,Bourbon,7.58,7.58,7.58,7.67,7.58,10,83.58,0.11,890
Arabica,Guatemala,Caturra,7.75,7.5,7.83,7.58,7.58,10,83.58,0.11,1128.3696
Arabica,Colombia,Caturra,7.75,7.58,7.58,7.67,7.58,10,83.58,0.11,NA
Arabica,China,Catimor,7.67,7.58,7.58,7.67,7.75,10,83.58,0.1,1100
Arabica,Colombia,Caturra,7.67,7.58,7.67,7.75,7.58,10,83.58,0.12,1775
Arabica,Mexico,Caturra,7.75,7.58,7.58,7.5,7.67,10,83.58,0.12,1200
Arabica,Ethiopia,Other,7.75,7.58,7.67,7.5,7.67,10,83.58,0,1850
Arabica,Uganda,SL14,7.67,7.42,7.75,7.75,7.67,10,83.58,0.12,1800
Arabica,Colombia,Caturra,7.67,7.67,7.67,7.67,7.67,10,83.58,0,1600
Arabica,Colombia,Caturra,7.67,7.67,7.58,7.67,7.75,10,83.58,0.12,1550
Arabica,Colombia,Caturra,7.75,7.5,7.58,7.75,7.83,10,83.58,0,1550
Arabica,Taiwan,Typica,7.75,7.75,7.75,7.5,7.58,10,83.58,0.11,1000
Arabica,Colombia,Caturra,7.67,7.58,7.67,7.75,7.58,10,83.58,0.11,1775
Arabica,Mexico,Typica,7.83,7.58,7.58,7.67,7.58,10,83.58,0.12,1000
Arabica,Colombia,Caturra,7.67,7.58,7.58,7.67,7.75,10,83.58,0.11,2136
Arabica,Brazil,Catuai,7.83,7.5,7.75,7.5,7.58,10,83.58,0.12,1100
Arabica,Colombia,Caturra,7.75,7.58,7.75,7.75,7.5,10,83.5,0,1799
Arabica,Taiwan,,7.58,7.17,7.17,7,7,10,83.5,0.11,NA
Arabica,Costa Rica,Caturra,7.92,7.5,7.67,7.5,7.67,10,83.5,0,1850
Arabica,Colombia,Caturra,7.75,7.58,7.5,7.75,7.75,10,83.5,0,1000
Arabica,Guatemala,Bourbon,7.67,7.5,7.83,7.58,7.58,10,83.5,0.1,1219.2
Arabica,Colombia,Caturra,7.58,7.58,7.58,7.75,7.67,10,83.5,0.12,1775
Arabica,"Tanzania, United Republic Of",Ruiru 11,7.75,7.58,7.67,7.67,7.58,10,83.5,0.13,1400
Arabica,Indonesia,Sumatra,7.25,7.58,7.92,7.83,7.58,10,83.5,0.13,1500
Arabica,Ethiopia,,7.67,7.5,7.58,7.75,7.67,10,83.5,0.1,1600
Arabica,Colombia,,7.67,7.67,7.83,7.58,7.67,10,83.5,0,NA
Arabica,Colombia,Caturra,8,7.25,7.58,7.92,7.58,10,83.5,0.11,1850
Arabica,Guatemala,Caturra,7.58,7.5,7.83,7.42,7.67,10,83.5,0.1,1400
Arabica,Colombia,Caturra,7.75,7.33,7.5,7.83,7.83,10,83.5,0,1650
Arabica,Honduras,Caturra,7.67,7.67,7.5,7.67,7.67,10,83.5,0.1,1350
Arabica,Colombia,Caturra,7.58,7.42,7.67,7.75,7.67,10,83.5,0,1750
Arabica,Colombia,Caturra,7.58,7.58,7.75,7.58,7.75,10,83.5,0.11,1750
Arabica,Mexico,Bourbon,7.83,7.25,7.5,7.5,7.42,10,83.5,0.13,1170
Arabica,Mexico,Typica,7.67,7.67,7.75,7.58,7.5,10,83.5,0.11,940
Arabica,Mexico,Pacamara,7.75,7.67,7.75,7.33,7.5,10,83.5,0.12,1400
Arabica,Guatemala,Caturra,7.83,7.5,8,7.67,7.5,10,83.5,0.1,1524
Arabica,Colombia,Caturra,7.67,7.58,7.67,7.67,7.67,10,83.5,0.11,1775
Arabica,Guatemala,Bourbon,7.5,7.75,7.5,8,7.67,10,83.5,0,1402.08
Arabica,United States (Hawaii),,7.5,7.58,7.92,7.58,7.67,10,83.5,0.01,NA
Arabica,Indonesia,,7.83,7.58,7.58,7.75,7.58,10,83.5,0,1600
Arabica,Colombia,Caturra,7.5,7.58,7.5,7.75,7.83,10,83.42,0,439
Arabica,Guatemala,Bourbon,7.67,7.5,7.58,7.58,7.67,10,83.42,0.1,1700
Arabica,Colombia,Caturra,7.67,7.5,7.67,7.67,7.58,10,83.42,0.11,442
Arabica,Costa Rica,Caturra,7.58,7.42,7.92,7.5,7.67,10,83.42,0.09,1850
Arabica,Taiwan,,7.67,7,7.08,7,7,10,83.42,0.11,NA
Arabica,Uganda,SL14,7.58,7.33,7.75,7.67,7.58,10,83.42,0.11,1800
Arabica,Thailand,Catimor,7.5,7.75,7.5,7.75,7.67,10,83.42,0.13,1200
Arabica,El Salvador,Bourbon,7.58,7.75,7.58,7.75,7.67,10,83.42,0.11,1330
Arabica,Colombia,Caturra,7.58,7.58,7.67,7.58,7.67,10,83.42,0.12,442
Arabica,Brazil,Yellow Bourbon,7.33,7.75,7.5,7.42,7.83,10,83.42,0.12,NA
Arabica,"Tanzania, United Republic Of",Bourbon,7.75,7.58,7.67,7.58,7.58,10,83.42,0.13,1600
Arabica,Colombia,Caturra,7.58,7.25,7.75,7.75,8.58,10,83.42,0.12,1813
Arabica,Guatemala,Bourbon,7.75,7.33,7.83,7.5,7.67,10,83.42,0.1,1219.2
Arabica,Guatemala,Caturra,7.67,7.5,7.83,7.58,7.5,10,83.42,0.1,1500
Arabica,Guatemala,Bourbon,7.67,7.75,7.42,7.75,7.75,10,83.42,0.11,1310.64
Arabica,United States (Hawaii),Hawaiian Kona,7.42,7.67,7.58,7.67,7.67,10,83.42,0,NA
Arabica,Colombia,Caturra,7.5,7.58,7.5,7.67,7.75,10,83.42,0.11,1450
Arabica,Colombia,,7.58,7.58,7.67,7.75,7.67,10,83.42,0.1,NA
Arabica,United States (Hawaii),,7.5,7.42,7.67,7.83,7.58,10,83.42,0.01,NA
Arabica,Thailand,Peaberry,7.58,7.5,7.92,7.92,7.42,10,83.42,0.11,NA
Arabica,Mexico,,7.25,7.38,7.63,7.5,8.75,10,83.38,0.09,1050
Arabica,Colombia,Caturra,7.75,7.75,7.58,7.58,7.58,10,83.33,0,1650
Arabica,Colombia,Caturra,7.67,7.58,7.42,7.67,7.75,10,83.33,0,NA
Arabica,Colombia,Caturra,7.83,7.58,7.58,7.5,7.58,10,83.33,0,NA
Arabica,Brazil,Catuai,7.5,7.33,7.58,7.58,7.92,10,83.33,0.1,1227
Arabica,Mexico,Caturra,7.75,7.5,7.67,7.5,7.58,10,83.33,0.12,1200
Arabica,Colombia,Caturra,7.67,7.42,7.83,7.83,7.42,10,83.33,0.11,1650
Arabica,"Tanzania, United Republic Of",Other,7.75,7.67,7.58,7.58,7.58,10,83.33,0.12,1700
Arabica,Mexico,Other,7.67,7.58,7.67,7.5,7.58,10,83.33,0.12,1100
Arabica,Costa Rica,Caturra,7.67,7.42,7.67,7.67,7.67,10,83.33,0.12,1300
Arabica,United States (Hawaii),Hawaiian Kona,7.83,7.83,7.67,7.92,8,9.33,83.33,0.11,NA
Arabica,Costa Rica,Catuai,7.5,7.67,7.5,7.83,7.17,10,83.33,0.11,1200
Arabica,Peru,,7.83,7.58,7.83,7.92,7.58,10,83.33,0.12,NA
Arabica,Haiti,Typica,7.58,7.67,7.5,7.83,7.42,10,83.33,0.11,1280.16
Arabica,Colombia,Caturra,7.67,7.5,7.67,7.92,7.42,10,83.33,0.11,1000
Arabica,Guatemala,Bourbon,7.83,7.17,7.67,7.67,7.67,10,83.33,0.11,1310.64
Arabica,United States (Hawaii),Hawaiian Kona,7.92,7.58,7.83,7.67,7.67,10,83.33,0.1,NA
Arabica,Burundi,Bourbon,7.75,7.33,7.5,7.5,7.75,10,83.33,0,1880
Arabica,Colombia,Caturra,7.5,7.67,7.58,7.67,7.58,10,83.33,0,1750
Arabica,United States (Hawaii),,8.08,7.83,7.75,7.67,7.58,9.33,83.33,0.01,NA
Arabica,United States (Hawaii),,7.58,7.58,7.5,7.83,7.67,10,83.33,0,NA
Arabica,Mexico,Typica,7.67,7.42,7.83,7.33,7.5,10,83.25,0.11,1600
Arabica,Costa Rica,Catuai,7.5,7.83,7.5,7.67,7.67,10,83.25,0.11,1900
Arabica,Costa Rica,,7.83,7.42,7.67,7.5,7.67,10,83.25,0.11,NA
Arabica,Guatemala,Pacas,7.5,7.42,7.83,7.67,7.58,10,83.25,0.11,2100
Arabica,Uganda,SL14,7.5,7.67,7.42,7.67,7.67,10,83.25,0.12,NA
Arabica,Brazil,,7.58,7.42,7.5,7.67,7.42,10,83.25,0.12,NA
Arabica,Colombia,Caturra,7.58,7.67,7.17,7.75,7.83,10,83.25,0,442
Arabica,Mexico,Typica,7.83,7.5,7.58,7.58,7.58,10,83.25,0.12,1261
Arabica,Taiwan,Bourbon,7.67,7.5,7.5,7.67,7.83,10,83.25,0.1,1000
Arabica,Taiwan,Typica,7.92,7.75,7.58,7.5,7.33,10,83.25,0.1,800
Arabica,Colombia,Caturra,7.58,7.5,7.58,7.58,7.75,10,83.25,0,1483
Arabica,Guatemala,Caturra,7.5,7.58,7.67,7.67,7.5,10,83.25,0.1,1500
Arabica,Colombia,Caturra,7.83,7.67,7.33,7.67,7.67,10,83.25,0.11,1750
Arabica,Mexico,Bourbon,7.58,7.5,7.5,7.58,7.58,10,83.25,0.12,1300
Arabica,United States (Hawaii),Hawaiian Kona,7.58,7.83,8,8.08,7.67,9.33,83.25,0.11,NA
Arabica,Mexico,Mundo Novo,7.75,7.58,7.58,7.5,7.58,10,83.25,0.13,NA
Arabica,Mexico,Caturra,7.75,7.42,7.92,7.33,7.5,10,83.25,0.12,1000
Arabica,Guatemala,Bourbon,7.83,7.08,7.83,7.42,8.08,10,83.25,0.11,1310.64
Arabica,Brazil,Yellow Bourbon,7.75,7.5,7.58,7.58,7.58,10,83.25,0.11,1200
Arabica,Colombia,Caturra,7.67,7.58,7.42,7.83,7.58,10,83.25,0.12,175
Arabica,Colombia,Caturra,7.67,7.5,7.5,7.58,7.67,10,83.25,0.11,1775
Arabica,Colombia,,7.92,7.25,7.42,7.83,7.58,10,83.25,0.08,1700
Arabica,Colombia,,8,7.67,7.25,7.67,7.5,10,83.25,0.13,1880
Arabica,Colombia,,7.92,7.5,7.42,7.42,7.67,10,83.25,0.04,1800
Arabica,Brazil,Bourbon,7.67,7.5,7.58,7.67,7.58,10,83.17,0.11,890
Arabica,Guatemala,Bourbon,7.58,7.33,7.67,7.75,7.58,10,83.17,0.1,1901
Arabica,"Tanzania, United Republic Of",Bourbon,7.67,7.42,7.67,7.67,7.58,10,83.17,0.12,168
Arabica,Peru,,7.92,7.5,7.58,7.67,7.5,10,83.17,0.11,NA
Arabica,Vietnam,Catimor,7.58,7.08,7.33,7.58,8.58,10,83.17,0.07,1550
Arabica,Guatemala,Caturra,7.67,7.42,7.75,7.58,7.5,10,83.17,0.11,1500
Arabica,Honduras,Catuai,7.67,7.5,7.67,7.5,7.67,10,83.17,0.11,1450
Arabica,China,Catimor,7.5,7.33,7.67,7.67,7.67,10,83.17,0.11,1200
Arabica,China,Catimor,7.67,7.5,7.67,7.42,7.58,10,83.17,0.1,1600
Arabica,El Salvador,Bourbon,7.5,7.33,7.67,8,7.67,10,83.17,0,1350
Arabica,Guatemala,Bourbon,7.5,7.5,7.83,7.58,7.5,10,83.17,0.11,1500
Arabica,Guatemala,Bourbon,7.92,7.42,7.75,7.5,7.5,10,83.17,0.12,1650
Arabica,Kenya,SL28,7.83,7.67,7.75,7.83,8.5,9.33,83.17,0.1,250.5
Arabica,Thailand,,7.67,7.58,7.75,7.42,7.67,10,83.17,0.12,800
Arabica,"Tanzania, United Republic Of",Other,7.58,7.67,7.58,7.42,7.58,10,83.17,0.13,1653
Arabica,Colombia,Caturra,7.58,7.5,7.67,7.5,7.67,10,83.17,0,1775
Arabica,Uganda,SL14,8,7.5,7.42,7.33,7.58,10,83.17,0.1,1800
Arabica,Colombia,,7.58,7.5,7.58,7.58,7.58,10,83.17,0.11,NA
Arabica,Honduras,Catuai,7.5,7.5,7.67,7.67,7.67,10,83.17,0.1,1450
Arabica,Honduras,Caturra,7.67,7.5,7.67,7.5,7.67,10,83.17,0.11,1350
Arabica,Guatemala,Catuai,7.33,7.17,8.17,7.33,7.67,10,83.17,0.09,1524
Arabica,United States (Hawaii),Hawaiian Kona,7.5,7.58,7.42,7.92,7.67,10,83.17,0.11,NA
Arabica,"Tanzania, United Republic Of",Bourbon,7.58,7.58,7.75,7.58,7.58,10,83.17,0.12,1800
Arabica,Guatemala,Bourbon,7.67,7.33,7.67,7.5,7.67,10,83.17,0.11,1310.64
Arabica,Mexico,Typica,7.75,7.58,7.58,7.5,7.42,10,83.17,0.11,1500
Arabica,Mexico,Typica,7.75,7.58,7.5,7.42,7.58,10,83.17,0.12,532
Arabica,Mexico,Pacamara,7.58,7.42,7.67,7.5,7.58,10,83.17,0.14,1089
Arabica,Colombia,Caturra,7.67,7.5,7.5,7.58,8.17,10,83.17,0.11,1775
Arabica,Mexico,Typica,7.75,7.42,7.75,7.58,7.58,10,83.17,0.13,700
Arabica,Colombia,Caturra,7.58,7.5,7.58,7.67,7.67,10,83.17,0.11,1750
Arabica,Mexico,Typica,7.5,7.58,7.58,7.67,7.5,10,83.17,0.11,1380
Arabica,Brazil,Mundo Novo,7.75,7.58,7.5,7.58,7.58,10,83.17,0.12,1000
Arabica,Brazil,Mundo Novo,7.92,7.5,7.58,7.42,7.5,10,83.17,0.11,950
Arabica,Guatemala,Bourbon,7.75,7.67,7.5,7.92,8,9.33,83.17,0,1402.08
Arabica,Brazil,Mundo Novo,7.75,7.58,7.5,7.75,7.5,10,83.17,0.12,1000
Arabica,Brazil,,7.58,7.67,7.5,7.67,7.58,10,83.17,0.02,900
Arabica,El Salvador,,7.42,8.17,8.08,7.17,7.58,10,83.17,0.14,1200
Arabica,Ethiopia,,7.75,7.67,8.08,7.83,7.92,9.33,83.17,0.01,1850
Arabica,Colombia,Caturra,7.58,7.33,7.67,7.75,7.58,10,83.08,0,1799
Arabica,Colombia,Caturra,7.75,7.5,7.42,8,7.75,10,83.08,0,NA
Arabica,Brazil,Yellow Bourbon,7.58,7.58,7.5,7.67,7.58,10,83.08,0.11,905
Arabica,Brazil,Yellow Bourbon,7.33,7.67,7.33,7.75,7.42,10,83.08,0,1
Arabica,Taiwan,Typica,7.83,7.5,7.83,7.67,7.25,10,83.08,0,750
Arabica,Brazil,Mundo Novo,7.42,7.58,7.5,7.75,7.67,10,83.08,0.11,NA
Arabica,Brazil,Bourbon,7.58,7.67,7.42,7.42,7.5,10,83.08,0,1200
Arabica,Costa Rica,Catuai,7.83,7.5,7.67,7.58,7.67,10,83.08,0.1,1300
Arabica,United States (Hawaii),Hawaiian Kona,7.33,7.58,7.33,7.83,7.67,10,83.08,0.12,NA
Arabica,Taiwan,Typica,7.75,7.5,7.5,7.5,7.5,10,83.08,0.11,1300
Arabica,United States (Hawaii),Hawaiian Kona,7.83,7.33,7.17,7.75,7.67,10,83.08,0.1,NA
Arabica,Mexico,Other,7.75,7.42,7.75,7.5,7.5,10,83.08,0.1,1400
Arabica,United States (Hawaii),Hawaiian Kona,7.67,7.5,7.67,7.92,8,10,83.08,0,NA
Arabica,United States (Hawaii),Hawaiian Kona,7.33,7.58,7.92,7.67,7.58,10,83.08,0.12,NA
Arabica,Colombia,Caturra,7.33,7.33,7.58,7.25,8.08,10,83.08,0.01,1775
Arabica,Colombia,,7.83,7.33,7.25,7.42,7.92,10,83.08,0.08,1880
Arabica,Indonesia,,7.67,7.5,7.58,7.67,7.58,10,83.08,0,1350
Arabica,Guatemala,,7.92,7.67,7.25,7.83,7.67,10,83.08,0.02,NA
Arabica,Brazil,Bourbon,7.58,7.5,7.75,7.67,7.5,10,83,0,890
Arabica,Brazil,Bourbon,7.5,7.58,7.67,7.58,7.5,10,83,0.11,894
Arabica,Brazil,Bourbon,7.5,7.58,7.67,7.58,7.42,10,83,0.11,872
Arabica,Uganda,Bourbon,7.67,7.42,7.42,7.83,7.5,10,83,0.12,1473
Arabica,Uganda,Bourbon,7.67,7.5,7.58,7.42,7.5,10,83,0.12,1645
Arabica,Colombia,,7.67,7.33,7.67,7.5,7.58,10,83,0.11,442
Arabica,Vietnam,Caturra,7.75,7.58,7.58,7.42,7.67,10,83,0,1550
Arabica,Guatemala,Catuai,7.67,7.33,7.92,7.42,7.5,10,83,0.11,1550
Arabica,Guatemala,Catuai,7.75,7.33,7.75,7.5,7.42,10,83,0.11,1371.6
Arabica,Guatemala,Bourbon,7.83,7.25,7.67,7.75,7.5,10,83,0.11,1500
Arabica,Brazil,Catuai,7.67,7.67,7.5,7.42,7.5,10,83,0,1000
Arabica,Taiwan,Typica,7.92,7.83,7.58,7.33,7.25,10,83,0.08,1200
Arabica,Uganda,SL14,7.83,7.5,7.5,7.58,7.5,10,83,0.12,1800
Arabica,United States (Puerto Rico),Other,7.67,7.67,7.83,7.75,7.83,9.33,83,0,853.44
Arabica,Guatemala,Bourbon,7.67,7.42,7.83,7.5,7.5,10,83,0.1,1500
Arabica,Costa Rica,Catuai,7.67,7.5,7.58,7.5,7.5,10,83,0.11,1200
Arabica,Brazil,Yellow Bourbon,7.75,7.42,7.67,7.42,7.67,10,83,0.12,1250
Arabica,Colombia,Caturra,7.75,7.33,7.5,7.58,7.17,10,83,0.11,1775
Arabica,Colombia,Caturra,7.83,7.58,7.33,7.5,7.67,10,83,0,1750
Arabica,Colombia,Caturra,7.33,7.75,7.42,7.75,7.58,10,83,0.11,1000
Arabica,Colombia,Caturra,7.58,7.42,7.67,7.58,7.42,10,83,0,1000
Arabica,Colombia,Caturra,7.5,7.42,7.58,7.75,7.58,10,83,0.11,1775
Arabica,Mexico,Typica,7.67,7.42,7.5,7.67,7.58,10,83,0.11,750
Arabica,Mexico,Typica,7.67,7.5,7.58,7.58,7.67,10,83,0.11,1200
Arabica,Mexico,Bourbon,7.5,7.5,7.5,7.58,7.58,10,83,0.11,1200
Arabica,Colombia,Arusha,7.67,7.5,7.5,7.75,7.5,10,83,0,NA
Arabica,Colombia,Caturra,7.75,7.5,7.67,7.83,7.75,10,83,0,1625
Arabica,Colombia,Caturra,7.67,7.58,7.58,7.67,7.42,10,83,0.11,1750
Arabica,Guatemala,Bourbon,7.5,7.5,7.67,7.5,7.83,10,83,0.1,1371.6
Arabica,Colombia,Caturra,7.67,7.58,7.5,7.67,7.42,10,83,0.12,1775
Arabica,Thailand,,7.33,7.58,7.5,7.75,7.67,10,83,0.28,NA
Arabica,Colombia,,7.33,7.58,7.33,7.58,7.92,10,83,0.08,1450
Arabica,United States (Hawaii),,7.83,7.67,7.83,7.92,7.83,9.33,83,0,NA
Arabica,United States (Hawaii),,7.5,7.42,7.58,7.58,7.67,10,83,0,NA
Arabica,Colombia,,7.5,7.67,7.67,7.58,7.58,10,83,0.06,1800
Arabica,Nicaragua,Caturra,7.58,7.75,7.92,7.92,8.08,9.33,83,0.07,NA
Arabica,Thailand,,7.5,7.42,7.75,8.17,7.5,10,83,0,NA
Arabica,Brazil,Bourbon,7.67,7.5,7.58,7.58,7.5,10,82.92,0,890
Arabica,El Salvador,Bourbon,7.5,7.75,7.58,7.92,7.83,9.33,82.92,0,1350
Arabica,Colombia,Caturra,7.58,7.5,7.33,7.67,7.58,10,82.92,0.11,1500
Arabica,Taiwan,Caturra,7.17,7.25,7.67,7.67,7.58,10,82.92,0.09,350
Arabica,Ethiopia,Ethiopian Heirlooms,7.58,7.5,7.5,7.58,7.58,10,82.92,0,2000
Arabica,Taiwan,Typica,7.5,7.67,7.33,7.5,7.75,10,82.92,0,775
Arabica,Philippines,Other,7.58,7.67,7.58,7.5,7.5,10,82.92,0.11,1200
Arabica,Philippines,Other,8.08,7.67,7.42,7.33,7.5,10,82.92,0,1600
Arabica,Mexico,Typica,7.83,7.25,7.58,7.5,7.5,10,82.92,0.13,1059
Arabica,Mexico,Bourbon,7.75,7.42,7.42,7.75,7.5,10,82.92,0.12,1300
Arabica,Brazil,Moka Peaberry,7.08,7.5,7.83,7.75,7.67,10,82.92,0.11,11000
Arabica,Uganda,SL14,8,7.5,7.58,7.33,7.42,10,82.92,0.12,1650
Arabica,Uganda,SL14,7.75,7.58,7.5,7.5,7.5,10,82.92,0.12,1400
Arabica,Guatemala,Bourbon,7.75,7.42,7.58,7.67,7.5,10,82.92,0.1,1500
Arabica,Guatemala,Caturra,7.67,7.42,7.5,7.33,7.5,10,82.92,0.1,1500
Arabica,Guatemala,,7.58,7.25,7.58,7.58,7.58,10,82.92,0.1,NA
Arabica,Colombia,Caturra,7.58,7.75,7.33,7.58,7.58,10,82.92,0.11,1900
Arabica,Colombia,Caturra,7.75,7.25,7.5,7.75,7.5,10,82.92,0,1750
Arabica,Guatemala,Bourbon,7.83,7.25,7.92,7.5,7.17,10,82.92,0.11,1706.88
Arabica,Colombia,Other,7.83,7.42,7.42,7.5,7.58,10,82.92,0.11,1450
Arabica,Mexico,Typica,7.58,7.33,7.25,7.58,7.75,10,82.92,0.1,1248
Arabica,Vietnam,Other,7.67,7.17,7.58,8.08,7.42,10,82.92,0,1040
Arabica,Mexico,Typica,8,7.67,7.17,7.67,7.42,10,82.92,0.14,1400
Arabica,United States (Hawaii),Hawaiian Kona,7.5,7.5,7.42,7.67,7.83,10,82.92,0.1,NA
Arabica,Colombia,,7.5,7.33,7.75,7.08,7.83,10,82.92,0.15,1450
Arabica,Thailand,,7.42,7.5,7.17,7.5,8,10,82.92,0,NA
Arabica,Kenya,SL28,7.75,7.42,7.58,7.5,7.5,10,82.83,0.1,1754
Arabica,Guatemala,Bourbon,7.5,7.33,7.67,7.58,7.58,10,82.83,0.11,1700
Arabica,Brazil,Yellow Bourbon,7.67,7.58,7.5,7.5,7.42,10,82.83,0.11,905
Arabica,El Salvador,Pacas,7.33,7.67,7.83,7.33,7.67,10,82.83,0,1250
Arabica,Rwanda,Bourbon,7.83,7.75,7.83,7.75,7.75,9.33,82.83,0.11,1900
Arabica,Vietnam,Other,7.25,7.5,7.42,7.75,7.42,10,82.83,0.11,1040
Arabica,Guatemala,Bourbon,7.58,7.33,7.67,7.67,7.5,10,82.83,0.11,1219.2
Arabica,Brazil,Catuai,7.58,7.33,7.67,7.42,7.33,10,82.83,0.12,900
Arabica,Colombia,Other,7.83,7.5,7.58,7.5,7.67,10,82.83,0,1600
Arabica,United States,Other,7.42,7.25,7.5,7.75,7.75,10,82.83,0,1200
Arabica,Guatemala,Bourbon,7.67,7.75,7.67,7.42,7.17,10,82.83,0.1,1500
Arabica,Colombia,Typica,7.5,7.58,7.5,7.58,7.58,10,82.83,0,1800
Arabica,Colombia,Caturra,7.83,7.5,7.42,7.5,7.5,10,82.83,0.11,1775
Arabica,"Tanzania, United Republic Of",Arusha,7.67,7.33,7.25,7.58,7.75,10,82.83,0.11,1400
Arabica,Mexico,Caturra,7.58,7.5,7.58,7.5,7.5,10,82.83,0.12,1550
Arabica,Mexico,Bourbon,7.67,7.42,7.75,7.42,7.42,10,82.83,0.12,1250
Arabica,Guatemala,Bourbon,7.67,7.33,7.5,7.33,7.92,10,82.83,0.11,1310.64
Arabica,Mexico,Typica,7.58,7.5,7.42,7.67,7.58,10,82.83,0.11,1380
Arabica,El Salvador,,7.75,7.75,7.75,7.25,7.5,10,82.83,0,1200
Arabica,Guatemala,Caturra,7.5,7.42,7.67,7.58,7.5,10,82.75,0.1,1100
Arabica,Guatemala,Caturra,7.58,7.5,7.58,7.5,7.42,10,82.75,0.11,1800
Arabica,Guatemala,Bourbon,7.5,7.17,7.67,7.67,7.58,10,82.75,0.11,1700
Arabica,Guatemala,Bourbon,7.5,7.42,7.58,7.67,7.5,10,82.75,0.1,1219.2
Arabica,Guatemala,Bourbon,7.42,7.42,7.67,7.5,7.5,10,82.75,0.1,1219.2
Arabica,Indonesia,Sulawesi,7.5,7.42,7.58,7.58,7.5,10,82.75,0.12,1500
Arabica,Guatemala,Bourbon,7.58,7.33,7.58,7.33,7.67,10,82.75,0.12,157.8864
Arabica,Taiwan,Yellow Bourbon,7.83,7.33,7.67,7.58,7.67,10,82.75,0,650
Arabica,El Salvador,Bourbon,7.67,7.17,7.33,7.58,7.67,10,82.75,0,1250
Arabica,Costa Rica,Caturra,7.58,7.42,7.67,7.42,7.5,10,82.75,0.09,1850
Arabica,Honduras,Caturra,7.58,7.42,7.58,7.5,7.5,10,82.75,0.09,1400
